Council District,Percent Turnout,Geometry,Latitude (generated),Longitude (generated),Number of Records,Voted2017GE
51,0.376640497,Polygon,40.54361638,-74.19124087,101646,38284
50,0.353384077,MultiPolygon,40.59428336,-74.15603239,97353,34403
49,0.301796013,MultiPolygon,40.63670729,-74.14468923,91035,27474
48,0.211455662,MultiPolygon,40.58497819,-73.94281755,85006,17975
47,0.190453411,Polygon,40.58206314,-73.98584025,77347,14731
46,0.285037411,MultiPolygon,40.60085389,-73.912077,101306,28876
45,0.252689838,Polygon,40.63529276,-73.93658901,93593,23650
44,0.266290828,Polygon,40.6197215,-73.97904317,67937,18091
43,0.302454043,Polygon,40.60243426,-74.00985947,88344,26720
42,0.227550637,MultiPolygon,40.61845984,-73.85206285,93065,21177
41,0.221833782,Polygon,40.66949527,-73.92102811,90676,20115
40,0.279371562,Polygon,40.64818703,-73.95774407,89619,25037
39,0.347961296,Polygon,40.66829876,-73.98816689,103865,36141
38,0.193753415,Polygon,40.66272915,-74.01066176,69542,13474
37,0.158475023,Polygon,40.68486246,-73.89801023,79634,12620
36,0.240174412,Polygon,40.68607994,-73.94040045,100681,24181
35,0.301856445,Polygon,40.68584875,-73.96666691,111288,33593
34,0.195213947,Polygon,40.71173293,-73.92847614,95444,18632
33,0.227938117,Polygon,40.715527,-73.96365976,103357,23559
32,0.289282836,MultiPolygon,40.60247492,-73.85498376,83147,24053
31,0.257475235,MultiPolygon,40.61352777,-73.78184635,87422,22509
30,0.273687859,Polygon,40.71841463,-73.90865484,77888,21317
29,0.240398591,Polygon,40.71689759,-73.84405201,86003,20675
28,0.195512925,Polygon,40.66629429,-73.79614844,92265,18039
27,0.264719175,Polygon,40.70075462,-73.77142226,97356,25772
26,0.254011839,Polygon,40.74297662,-73.94327821,84126,21369
25,0.204534868,Polygon,40.74497169,-73.88202184,72990,14929
24,0.218265336,Polygon,40.72130939,-73.80971524,80984,17676
23,0.278242447,Polygon,40.73776801,-73.7484229,90626,25216
22,0.257451074,MultiPolygon,40.78329698,-73.89279529,81297,20930
21,0.15495311,Polygon,40.77299424,-73.86531173,55662,8625
20,0.185098757,Polygon,40.7533926,-73.81227532,65565,12136
19,0.315073419,MultiPolygon,40.78524731,-73.81248389,86218,27165
18,0.192524814,MultiPolygon,40.81498298,-73.8553252,91583,17632
17,0.167146142,MultiPolygon,40.81192926,-73.89817456,83077,13886
16,0.183135893,Polygon,40.83821522,-73.91681287,83823,15351
15,0.158661172,Polygon,40.8579304,-73.88122967,75469,11974
14,0.160992917,Polygon,40.86141278,-73.90643212,78637,12660
13,0.277775755,MultiPolygon,40.84106884,-73.80471118,82383,22884
12,0.270283707,Polygon,40.88113229,-73.84874693,94534,25551
11,0.271974003,Polygon,40.88736211,-73.88807496,83394,22681
10,0.231860844,MultiPolygon,40.86393257,-73.92305452,102389,23740
9,0.267396319,Polygon,40.82096412,-73.93867039,110555,29562
8,0.182190453,MultiPolygon,40.8025287,-73.92848163,95971,17485
7,0.256922538,Polygon,40.82077347,-73.95580062,102708,26388
6,0.329330172,Polygon,40.78539932,-73.97758591,117657,38748
5,0.299510195,MultiPolygon,40.76579056,-73.95219354,102898,30819
4,0.277395034,MultiPolygon,40.74388544,-73.97040881,107702,29876
3,0.269329851,Polygon,40.75124936,-74.00389552,112572,30319
2,0.256469814,MultiPolygon,40.72267095,-73.97964773,100312,25727
1,0.253679278,MultiPolygon,40.70255398,-74.01304978,96894,24580
