Coun Dist,Ge2018 C 1,Ge2018 C 2,Ge2018 Ccd,Geometry,Number of Records,Per Vot,Shape Area,Shape Leng
44,23298,67557,44259,Polygon,1,34.5,92757491.66,57615.40118
27,45393,98391,52998,Polygon,1,46.1,221757629.4,82516.11191
41,38409,90474,52065,Polygon,1,42.5,78156815.03,57718.37668
37,29118,80700,51582,Polygon,1,36.1,98292390.42,65461.01073
45,41957,93489,51532,Polygon,1,44.9,116765203,64761.79231
25,30501,74096,43595,Polygon,1,41.2,63560955.19,44473.21279
20,21957,65574,43617,Polygon,1,33.5,142120964.8,60347.1897
21,20945,55993,35048,Polygon,1,37.4,132384757.2,78690.76405
40,44598,91266,46668,Polygon,1,48.9,62693961.36,42775.14561
28,35025,92852,57827,Polygon,1,37.7,243582124.1,115755.2952
12,46041,94216,48175,Polygon,1,48.9,137915477.7,56956.33591
4,61739,108254,46515,MultiPolygon,1,57,70497800.81,72521.7593
47,26100,76758,50658,Polygon,1,34,125420269.3,99670.23086
48,29766,84515,54749,MultiPolygon,1,35.2,116100078.3,92683.57507
22,40172,83672,43500,MultiPolygon,1,48,143932018.8,89170.99232
42,38337,93083,54746,MultiPolygon,1,41.2,200860648.9,229196.1899
51,48923,102544,53621,Polygon,1,47.7,655647856.4,195525.9542
39,62057,105356,43299,Polygon,1,58.9,116496928.1,73679.71174
36,48454,102935,54481,Polygon,1,47.1,76221712.34,42153.18111
14,28979,77904,48925,Polygon,1,37.2,51648155.6,48429.45658
38,25236,69584,44348,Polygon,1,36.3,138395601.1,149196.5254
24,31873,81178,49305,Polygon,1,39.3,185496826,62170.65018
29,38937,86825,47888,Polygon,1,44.8,120165508.7,57728.0917
33,51759,106918,55159,Polygon,1,48.4,124363991.6,130860.4829
34,42618,98165,55547,Polygon,1,43.4,104505545.6,84267.0119
35,61622,114414,52792,Polygon,1,53.9,81510739.02,57126.63666
10,47487,102403,54916,MultiPolygon,1,46.4,73314340.01,64434.62676
43,40950,88366,47416,Polygon,1,46.3,146840948.6,85427.19675
49,44359,91801,47442,MultiPolygon,1,48.3,329129403.6,182152.8315
50,47312,97420,50108,MultiPolygon,1,48.6,639143421.9,185361.4905
6,75568,117577,42009,Polygon,1,64.3,83597188.29,56823.33375
3,66579,114669,48090,Polygon,1,58.1,82461813.33,91786.26127
7,51282,102507,51225,Polygon,1,50,51409767.77,50142.26865
9,55683,110340,54657,Polygon,1,50.5,57262986.68,47398.24209
8,36855,95636,58781,MultiPolygon,1,38.5,102799623.1,114089.0018
5,62295,104078,41783,MultiPolygon,1,59.9,37209207.01,63910.06738
17,30206,82836,52630,MultiPolygon,1,36.5,135049494.3,120646.6397
11,41164,83015,41851,Polygon,1,49.6,205657341.5,86727.37459
15,26595,74309,47714,Polygon,1,35.8,97488238.8,63474.07375
16,31920,83016,51096,Polygon,1,38.5,57830816.24,70439.56341
32,36240,84520,48280,MultiPolygon,1,42.9,310159508.8,311718.3373
46,47520,101710,54190,MultiPolygon,1,46.7,278358043.3,254789.4935
1,49599,98792,49193,MultiPolygon,1,50.2,78813081.89,112436.1787
2,54143,100957,46814,MultiPolygon,1,53.6,47497665.79,48548.88069
26,42533,88034,45501,Polygon,1,48.3,151971140.7,75679.34522
30,32328,78610,46282,Polygon,1,41.1,253767333.4,96615.25196
31,41368,87982,46614,MultiPolygon,1,47,436277162.8,432804.6045
13,36552,82777,46225,MultiPolygon,1,44.2,327158972.1,333855.6692
18,35844,91706,55862,MultiPolygon,1,39.1,106383419.4,62147.94799
19,39827,86280,46453,MultiPolygon,1,46.2,332188370.7,183546.6764
23,40848,91359,50511,Polygon,1,44.7,305397639.3,77505.22623
