Coun Dist,Geometry,Number of Records,Per Vot,PR Turnout,Pr0918 C 1,Pr0918 C 2,Pr0918 C 3,Pr0918 Ccd,Shape Area,Shape Leng
1,MultiPolygon,1,50.2,32.7,40528,19736,39241,1,78813081.8854,112436.178667
2,MultiPolygon,1,53.6,34.9,43665,23403,34684,2,47497665.7938,48548.8806875
3,Polygon,1,58.1,38.3,45257,28077,42179,3,82461813.3335,91786.2612723
4,MultiPolygon,1,57.0,35.0,39043,21036,48929,4,70497800.8098,72521.7593034
5,MultiPolygon,1,59.9,37.1,39178,23106,42518,5,37209207.0058,63910.0673776
6,Polygon,1,64.3,46.1,43054,36817,38386,6,83597188.2863,56823.3337506
7,Polygon,1,50.0,34.7,51644,27389,24018,7,51409767.7719,50142.2686455
8,MultiPolygon,1,38.5,23.4,56625,17250,22325,8,102799623.099,114089.001826
9,Polygon,1,50.5,33.0,58799,28918,23211,9,57262986.6767,47398.2420859
10,MultiPolygon,1,46.4,31.6,54244,25099,23621,10,73314340.0118,64434.6267629
11,Polygon,1,49.6,33.1,39393,19505,24580,11,205657341.461,86727.3745888
12,Polygon,1,48.9,31.1,52402,23625,18806,12,137915477.722,56956.3359088
13,MultiPolygon,1,44.2,27.7,36909,14172,32177,13,327158972.127,333855.669218
14,Polygon,1,37.2,19.7,48798,11938,17610,14,51648155.6022,48429.456581
15,Polygon,1,35.8,20.0,45558,11388,17847,15,97488238.8032,63474.0737482
16,Polygon,1,38.5,21.7,51616,14267,17522,16,57830816.2381,70439.5634085
17,MultiPolygon,1,36.5,20.6,51975,13473,17874,17,135049494.255,120646.639709
18,MultiPolygon,1,39.1,23.4,54059,16476,21624,18,106383419.389,62147.9479874
19,MultiPolygon,1,46.2,21.5,47428,13011,26298,19,332188370.662,183546.676387
20,Polygon,1,33.5,19.0,31942,7501,26553,20,142120964.774,60347.1897008
21,Polygon,1,37.4,25.3,29693,10071,16564,21,132384757.154,78690.76405
22,MultiPolygon,1,48.0,28.8,37485,15198,31431,22,143932018.789,89170.9923151
23,Polygon,1,44.7,23.2,48680,14671,28550,23,305397639.348,77505.2262307
24,Polygon,1,39.3,20.9,43300,11452,26871,24,185496825.977,62170.6501809
25,Polygon,1,41.2,27.0,33810,12528,28227,25,63560955.193,44473.2127907
26,Polygon,1,48.3,29.6,39552,16617,32459,26,151971140.68,75679.345223
27,Polygon,1,46.1,28.4,56533,22407,20092,27,221757629.371,82516.1119144
28,Polygon,1,37.7,21.6,54219,14915,24261,28,243582124.074,115755.295232
29,Polygon,1,44.8,24.5,42077,13644,31581,29,120165508.701,57728.0916999
30,Polygon,1,41.1,19.2,43399,10335,25314,30,253767333.417,96615.2519562
31,MultiPolygon,1,47.0,26.6,51244,18604,18623,31,436277162.843,432804.604464
32,MultiPolygon,1,42.9,19.9,49184,12229,23500,32,310159508.806,311718.337336
33,Polygon,1,48.4,33.0,51028,25189,31223,33,124363991.571,130860.482887
34,Polygon,1,43.4,28.5,50864,20233,27750,34,104505545.564,84267.0118968
35,Polygon,1,53.9,39.0,54177,34608,26180,35,81510739.0206,57126.6366647
36,Polygon,1,47.1,30.9,56331,25237,21892,36,76221712.3433,42153.1811059
37,Polygon,1,36.1,22.2,46568,13278,21417,37,98292390.4184,65461.010731
38,Polygon,1,36.3,25.4,32831,11183,25995,38,138395601.127,149196.525435
39,Polygon,1,58.9,45.3,40899,33896,31005,39,116496928.083,73679.711736
40,Polygon,1,48.9,33.4,47478,23861,20429,40,62693961.3637,42775.1456108
41,Polygon,1,42.5,27.1,53423,19821,17667,41,78156815.0258,57718.3766826
42,MultiPolygon,1,41.2,26.2,55531,19699,18425,42,200860648.876,229196.189944
43,Polygon,1,46.3,25.1,33012,11049,44737,43,146840948.639,85427.196748
44,Polygon,1,34.5,29.3,26752,11079,30074,44,92757491.6577,57615.401178
45,Polygon,1,44.9,30.1,49969,21542,22368,45,116765202.954,64761.7923095
46,MultiPolygon,1,46.7,27.0,51399,18974,31815,46,278358043.262,254789.493513
47,Polygon,1,34.0,17.6,34547,7393,35270,47,125420269.314,99670.2308557
48,MultiPolygon,1,35.2,20.8,31252,8210,45503,48,116100078.339,92683.5750655
49,MultiPolygon,1,48.3,26.4,40332,14448,37463,49,329129403.629,182152.831543
50,MultiPolygon,1,48.6,18.7,33938,7822,56048,50,639143421.94,185361.490528
51,Polygon,1,47.7,15.9,55027,10425,37541,51,655647856.417,195525.954216
