CouncilDistrict,didnotvote,voted,notelig,turnout
1,39065,65606,1613,62.7
2,36919,68175,1574,64.9
3,37537,83961,1754,69.1
4,33327,79377,1468,70.4
5,28572,80159,1439,73.7
6,31573,91048,1322,74.3
7,41729,63514,1379,60.3
8,48057,52870,1857,52.4
9,44408,71158,1648,61.6
10,43315,62271,1292,59
11,30328,58066,1496,65.7
12,37196,62448,1615,62.7
13,32564,56113,1873,63.3
14,39732,42409,1560,51.6
15,39178,40376,1612,50.8
16,41208,46497,1628,53
17,43499,45593,1829,51.2
18,42655,54065,1728,55.9
19,29925,62447,1439,67.6
20,32297,37609,1237,53.8
21,26188,32952,1141,55.7
22,30381,59151,1377,66.1
23,32200,64604,1582,66.7
24,32433,54013,1688,62.5
25,29724,49372,1344,62.4
26,31974,62734,1465,66.2
27,39205,64723,1416,62.3
28,41505,56183,1697,57.5
29,30242,62873,1507,67.5
30,30292,54836,1560,64.4
31,35865,57774,1625,61.7
32,31838,58889,1639,64.9
33,41738,74197,1715,64
34,46696,59255,1917,55.9
35,43379,77741,1574,64.2
36,46265,62793,1569,57.6
37,42772,42752,1495,50
38,36001,37354,1250,50.9
39,31984,77436,1353,70.8
40,37234,59813,1387,61.6
41,43305,52415,1505,54.8
42,44628,53746,1582,54.6
43,35153,58991,1624,62.7
44,30263,41829,1895,58
45,39073,59420,1523,60.3
46,39276,68405,1772,63.5
47,37667,45416,1924,54.7
48,37702,54353,2413,59
49,35146,62713,1676,64.1
50,30435,73939,1752,70.8
51,29362,80608,1796,73.3
