CouncilDistrict,didnotvote,voted,notelig,turnout
6,56629,29937,29906,0.345828616
39,47891,21879,34012,0.313587502
5,46319,19589,35849,0.297217333
4,45465,18491,41690,0.289120645
3,58934,20099,33738,0.25431149
2,53950,15195,28198,0.219755586
1,52564,13268,32232,0.201543322
35,46076,11033,57539,0.193191966
33,69058,14638,27916,0.174894858
40,33092,6775,52023,0.169940051
22,30062,5656,49422,0.158351531
11,48463,9022,26668,0.15694529
10,65941,12049,21458,0.154494166
7,66831,12152,20498,0.153855893
43,53155,9158,27734,0.146967727
38,40063,6548,24042,0.140481861
49,61580,9534,25302,0.134066429
50,63802,9294,30379,0.12714786
26,41587,5999,44488,0.12606649
45,60384,8363,25908,0.121648945
9,78702,10587,20711,0.118570037
19,28594,3824,58213,0.117959159
51,69400,9249,30976,0.117598444
36,56660,7261,38418,0.113593342
23,26475,3206,65592,0.108015229
44,9773,1168,59513,0.10675441
29,23492,2611,63969,0.100026817
46,64776,6762,33405,0.09452319
12,21217,2193,73104,0.093677915
13,48556,4790,32391,0.089791175
41,37762,3360,49495,0.081708088
16,4955,440,78649,0.081556997
42,63318,5396,24789,0.078528393
48,34655,2817,51748,0.075176132
30,30828,2391,50357,0.071976881
15,26391,1984,45474,0.069920705
32,27003,2020,60523,0.069599972
47,44521,3328,31958,0.069552133
34,68723,5117,24684,0.069298483
14,51149,3724,23177,0.067865799
8,35660,2568,59026,0.067175892
18,62428,4435,26236,0.066329659
28,18286,1237,76203,0.063361164
25,944,62,77147,0.061630219
37,57468,2882,20554,0.047754764
21,3063,118,54452,0.037095253
17,1295,43,85063,0.032137519
20,23,,68938,
24,,,84275,
27,,,102514,
31,,,91713,
