CouncilDistrict,didnotvote,voted,notelig,turnout
1,52564.0,13268.0,32232,20.1543322
2,53950.0,15195.0,28198,21.9755586
3,58934.0,20099.0,33738,25.431148999999998
4,45465.0,18491.0,41690,28.9120645
5,46319.0,19589.0,35849,29.721733299999997
6,56629.0,29937.0,29906,34.5828616
7,66831.0,12152.0,20498,15.3855893
8,35660.0,2568.0,59026,6.7175892
9,78702.0,10587.0,20711,11.8570037
10,65941.0,12049.0,21458,15.4494166
11,48463.0,9022.0,26668,15.694529
12,21217.0,2193.0,73104,9.3677915
13,48556.0,4790.0,32391,8.979117500000001
14,51149.0,3724.0,23177,6.7865799
15,26391.0,1984.0,45474,6.9920705
16,4955.0,440.0,78649,8.155699700000001
17,1295.0,43.0,85063,3.2137519
18,62428.0,4435.0,26236,6.6329659
19,28594.0,3824.0,58213,11.795915899999999
20,23.0,,68938,
21,3063.0,118.0,54452,3.7095253
22,30062.0,5656.0,49422,15.8351531
23,26475.0,3206.0,65592,10.8015229
24,,,84275,
25,944.0,62.0,77147,6.1630219
26,41587.0,5999.0,44488,12.606649
27,,,102514,
28,18286.0,1237.0,76203,6.3361164
29,23492.0,2611.0,63969,10.0026817
30,30828.0,2391.0,50357,7.197688100000001
31,,,91713,
32,27003.0,2020.0,60523,6.959997199999999
33,69058.0,14638.0,27916,17.489485799999997
34,68723.0,5117.0,24684,6.9298483
35,46076.0,11033.0,57539,19.319196599999998
36,56660.0,7261.0,38418,11.3593342
37,57468.0,2882.0,20554,4.7754764
38,40063.0,6548.0,24042,14.0481861
39,47891.0,21879.0,34012,31.358750200000003
40,33092.0,6775.0,52023,16.994005100000003
41,37762.0,3360.0,49495,8.1708088
42,63318.0,5396.0,24789,7.8528393
43,53155.0,9158.0,27734,14.696772699999999
44,9773.0,1168.0,59513,10.675441
45,60384.0,8363.0,25908,12.164894499999999
46,64776.0,6762.0,33405,9.452319000000001
47,44521.0,3328.0,31958,6.9552133000000005
48,34655.0,2817.0,51748,7.5176132
49,61580.0,9534.0,25302,13.406642899999998
50,63802.0,9294.0,30379,12.714786
51,69400.0,9249.0,30976,11.7598444
