CouncilDistrict,didnotvote,voted,notelig,turnout
1,59418,13486,25160,0.184982991
2,60768,14369,22206,0.19123734
3,67125,19091,26555,0.221432217
4,60764,17309,27573,0.221702765
5,57804,18534,25419,0.242788651
6,69097,24395,22980,0.260931417
7,68713,13391,17377,0.163098022
8,70739,7639,18876,0.097463574
9,76718,15227,18055,0.165609876
10,70300,11909,17239,0.144862485
11,53675,12470,18008,0.18852521
12,68361,11415,16738,0.143088147
13,56972,7890,20875,0.121642873
14,58216,4722,15112,0.075026216
15,53964,4786,15099,0.08146383
16,62789,5618,15637,0.082126098
17,64989,4694,16718,0.067362197
18,67575,7022,18502,0.094132472
19,54287,8852,27492,0.140198609
20,41051,5570,22340,0.119474057
21,38767,4692,14174,0.107963828
22,53409,9729,22002,0.154091039
23,59429,9507,26337,0.137910526
24,53971,7759,22545,0.125692532
25,49614,7018,21521,0.123922871
26,57126,10981,23967,0.161231592
27,73533,10427,18554,0.124190091
28,67005,7717,21004,0.103276144
29,54067,10567,25438,0.163489804
30,50722,6959,25895,0.120646313
31,66121,9166,16426,0.121747446
32,58189,7749,23608,0.117519488
33,74702,15141,21769,0.16852732
34,68301,9580,20643,0.123008179
35,75808,20225,18615,0.210604688
36,72901,12492,16946,0.146288338
37,57441,6429,17034,0.100657586
38,44958,6279,19416,0.122548159
39,64028,20696,19058,0.24427553
40,62685,12753,16452,0.169052732
41,67062,8566,14989,0.113264928
42,68474,9115,15914,0.117477993
43,53318,9397,27332,0.149836562
44,46827,6114,17513,0.115487052
45,67650,10538,16467,0.134777715
46,72941,10498,21504,0.125816465
47,50416,5195,24196,0.09341677
48,54774,6176,28270,0.101328958
49,61178,9686,25552,0.136684353
50,62681,10221,30573,0.140201915
51,67900,10511,31214,0.13405007
