CouncilDistrict,didnotvote,voted,notelig,turnout
1,59418,13486,25160,18.4982991
2,60768,14369,22206,19.123734
3,67125,19091,26555,22.143221699999998
4,60764,17309,27573,22.1702765
5,57804,18534,25419,24.2788651
6,69097,24395,22980,26.0931417
7,68713,13391,17377,16.3098022
8,70739,7639,18876,9.746357399999999
9,76718,15227,18055,16.560987599999997
10,70300,11909,17239,14.486248500000002
11,53675,12470,18008,18.852521
12,68361,11415,16738,14.3088147
13,56972,7890,20875,12.1642873
14,58216,4722,15112,7.5026216
15,53964,4786,15099,8.146383
16,62789,5618,15637,8.2126098
17,64989,4694,16718,6.7362196999999995
18,67575,7022,18502,9.413247199999999
19,54287,8852,27492,14.0198609
20,41051,5570,22340,11.9474057
21,38767,4692,14174,10.7963828
22,53409,9729,22002,15.409103900000002
23,59429,9507,26337,13.7910526
24,53971,7759,22545,12.5692532
25,49614,7018,21521,12.3922871
26,57126,10981,23967,16.1231592
27,73533,10427,18554,12.4190091
28,67005,7717,21004,10.3276144
29,54067,10567,25438,16.3489804
30,50722,6959,25895,12.0646313
31,66121,9166,16426,12.1747446
32,58189,7749,23608,11.751948800000001
33,74702,15141,21769,16.852732
34,68301,9580,20643,12.3008179
35,75808,20225,18615,21.060468800000002
36,72901,12492,16946,14.628833799999999
37,57441,6429,17034,10.065758599999999
38,44958,6279,19416,12.2548159
39,64028,20696,19058,24.427553
40,62685,12753,16452,16.9052732
41,67062,8566,14989,11.3264928
42,68474,9115,15914,11.7477993
43,53318,9397,27332,14.9836562
44,46827,6114,17513,11.5487052
45,67650,10538,16467,13.4777715
46,72941,10498,21504,12.581646499999998
47,50416,5195,24196,9.341676999999999
48,54774,6176,28270,10.1328958
49,61178,9686,25552,13.6684353
50,62681,10221,30573,14.020191500000001
51,67900,10511,31214,13.405007
